-----------------------------------------------------
Circuit delay: 864.797 ps

Gate slacks: 
INP-1: 875.475 ps
INP-100: 517.289 ps
NOT-10002: 164.154 ps
NAND-10003: 98.0522 ps
NOT-10006: 155.595 ps
NAND-10007: 448.282 ps
NAND-10010: 448.282 ps
AND-10013: 492.59 ps
AND-10014: 492.581 ps
AND-10015: 519.344 ps
AND-10016: 523.847 ps
AND-10017: 523.847 ps
AND-10018: 523.847 ps
AND-10019: 523.847 ps
AND-10020: 466.959 ps
AND-10021: 466.95 ps
AND-10022: 498.177 ps
NOT-10023: 477.388 ps
NOT-10024: 477.388 ps
NAND-10025: 573.06 ps
NOT-10026: 477.334 ps
NOT-10028: 477.334 ps
NAND-10032: 544.481 ps
NAND-10033: 544.442 ps
NAND-10034: 544.477 ps
NAND-10035: 544.637 ps
NAND-10036: 470.862 ps
NAND-10037: 477.32 ps
NAND-10038: 470.86 ps
AND-10039: 313.887 ps
AND-10040: 313.878 ps
AND-10041: 345.106 ps
AND-10042: 336.095 ps
AND-10043: 367.323 ps
NAND-10050: 477.319 ps
NOT-10053: 420.523 ps
AND-10054: 432.342 ps
AND-10055: 421.689 ps
AND-10056: 421.689 ps
AND-10057: 350.661 ps
AND-10058: 350.652 ps
AND-10059: 377.415 ps
AND-10060: 341.77 ps
AND-10061: 368.533 ps
NAND-10062: 477.46 ps
NAND-10067: 477.456 ps
NAND-10070: 450.07 ps
NAND-10073: 455.025 ps
NAND-10076: 155.966 ps
NAND-10077: 127.022 ps
NAND-10082: 156.17 ps
NAND-10083: 127.226 ps
NAND-10084: 204.941 ps
NAND-10085: 209.959 ps
NAND-10086: 127.133 ps
NAND-10093: 204.941 ps
NAND-10094: 209.959 ps
OR-10101: 492.581 ps
OR-10102: 523.847 ps
OR-10103: 523.847 ps
OR-10104: 466.95 ps
AND-10105: 490.941 ps
AND-10106: 490.941 ps
AND-10107: 490.941 ps
AND-10108: 490.941 ps
NAND-10109: 544.481 ps
NAND-10110: 544.442 ps
NAND-10111: 544.477 ps
NAND-10112: 544.637 ps
NAND-10113: 470.862 ps
NAND-10114: 477.32 ps
NAND-10115: 470.86 ps
OR-10116: 313.878 ps
OR-10119: 336.095 ps
NOT-10124: 305.4 ps
AND-10130: 340.133 ps
NOT-10131: 323.147 ps
NOT-10132: 402.726 ps
AND-10133: 334.969 ps
NAND-10134: 477.319 ps
NOT-10135: 459.009 ps
NAND-10136: 470.939 ps
NOT-10137: 459.009 ps
NAND-10138: 470.939 ps
AND-10139: 420.523 ps
OR-10140: 421.689 ps
OR-10141: 350.652 ps
OR-10148: 341.77 ps
NAND-10155: 477.46 ps
NOT-10156: 441.9 ps
NAND-10157: 453.829 ps
NOT-10158: 441.9 ps
NAND-10159: 453.829 ps
NOT-10160: 408.341 ps
NAND-10161: 477.456 ps
NOT-10162: 448.282 ps
NAND-10163: 460.212 ps
NOT-10164: 448.282 ps
NAND-10165: 460.212 ps
NAND-10170: 155.966 ps
NAND-10173: 127.022 ps
NOT-10176: 233.902 ps
NAND-10177: 245.513 ps
NOT-10178: 238.92 ps
NAND-10179: 252.052 ps
NAND-10180: 156.17 ps
NAND-10183: 127.226 ps
NAND-10186: 204.941 ps
NAND-10189: 209.959 ps
NAND-10192: 127.133 ps
NOT-10195: 98.0522 ps
NAND-10196: 109.891 ps
NAND-10197: 204.941 ps
NAND-10200: 209.959 ps
NOT-10203: 126.996 ps
NAND-10204: 138.607 ps
NOT-10205: 98.0522 ps
NAND-10206: 109.892 ps
NAND-10212: 450.07 ps
NAND-10213: 455.025 ps
AND-10230: 323.147 ps
NAND-10231: 459.009 ps
NAND-10232: 459.009 ps
OR-10233: 420.523 ps
NAND-10234: 421.689 ps
NAND-10237: 441.9 ps
NAND-10238: 441.9 ps
NAND-10239: 448.282 ps
NAND-10240: 448.282 ps
NOT-10241: 438.411 ps
NOT-10242: 443.366 ps
NAND-10247: 233.902 ps
NAND-10248: 238.92 ps
NAND-10259: 98.0522 ps
NAND-10264: 126.996 ps
NAND-10265: 98.0522 ps
AND-10266: 456.209 ps
AND-10267: 456.209 ps
AND-10268: 456.209 ps
AND-10269: 456.204 ps
NAND-10270: 361.057 ps
NAND-10271: 438.411 ps
NAND-10272: 443.366 ps
BUFF-10273: 313.878 ps
AND-10278: 390.516 ps
AND-10279: 390.479 ps
AND-1028: 731.402 ps
AND-10280: 390.512 ps
AND-10281: 390.672 ps
AND-10282: 350.652 ps
NOT-10283: 336.095 ps
AND-10287: 390.514 ps
AND-10288: 390.476 ps
AND-10289: 390.511 ps
NAND-1029: 735.817 ps
AND-10290: 390.67 ps
AND-10291: 341.77 ps
AND-10292: 305.4 ps
NAND-10293: 459.009 ps
NAND-10294: 459.009 ps
NAND-10295: 420.523 ps
AND-10296: 421.689 ps
NAND-10299: 441.9 ps
INP-103: 512.981 ps
NAND-10300: 441.9 ps
OR-10301: 323.147 ps
NAND-10306: 448.282 ps
NAND-10307: 448.282 ps
BUFF-10308: 418.421 ps
BUFF-10311: 418.423 ps
NOT-10314: 155.966 ps
NAND-10315: 167.573 ps
NOT-10316: 127.022 ps
NAND-10317: 140.155 ps
NAND-10318: 233.902 ps
NAND-10321: 238.92 ps
NOT-10324: 156.17 ps
NAND-10325: 167.776 ps
NOT-10326: 127.226 ps
NAND-10327: 140.358 ps
NOT-10328: 204.941 ps
NAND-10329: 216.553 ps
NOT-10330: 209.959 ps
NAND-10331: 223.091 ps
NOT-10332: 127.133 ps
NAND-10333: 138.743 ps
NAND-10334: 98.0522 ps
NOT-10337: 204.941 ps
NAND-10338: 216.553 ps
NOT-10339: 209.959 ps
NAND-10340: 223.091 ps
NAND-10341: 126.996 ps
NAND-10344: 98.0522 ps
OR-10350: 456.209 ps
OR-10351: 456.209 ps
OR-10352: 456.209 ps
OR-10353: 456.204 ps
AND-10354: 361.057 ps
NAND-10357: 438.411 ps
NAND-10360: 443.366 ps
OR-10367: 350.652 ps
OR-10375: 341.77 ps
OR-10381: 305.4 ps
AND-10388: 459.009 ps
AND-10391: 420.523 ps
AND-10399: 441.9 ps
AND-10402: 448.282 ps
OR-10406: 390.514 ps
OR-10409: 390.476 ps
OR-10412: 390.511 ps
OR-10415: 390.67 ps
OR-10419: 390.516 ps
OR-10422: 390.479 ps
OR-10425: 390.512 ps
OR-10428: 390.672 ps
NAND-10431: 155.966 ps
NAND-10432: 127.022 ps
NAND-10437: 156.17 ps
NAND-10438: 127.226 ps
NAND-10439: 204.941 ps
NAND-10440: 209.959 ps
NAND-10441: 127.133 ps
NAND-10444: 204.941 ps
NAND-10445: 209.959 ps
NOT-10450: 421.689 ps
AND-10451: 433.509 ps
NOT-10455: 418.421 ps
NAND-10456: 430.028 ps
NOT-10465: 418.423 ps
NAND-10466: 430.03 ps
NOT-10479: 313.878 ps
NOT-10497: 323.147 ps
NAND-10509: 155.966 ps
NAND-10512: 127.022 ps
NOT-10515: 233.902 ps
NAND-10516: 245.524 ps
NOT-10517: 238.92 ps
NAND-10518: 250.543 ps
NAND-10519: 156.17 ps
NAND-10522: 127.226 ps
NAND-10525: 204.941 ps
NAND-10528: 209.959 ps
NAND-10531: 127.133 ps
NOT-10534: 98.0522 ps
NAND-10535: 111.185 ps
NAND-10536: 204.941 ps
NAND-10539: 209.959 ps
NOT-10542: 126.996 ps
NAND-10543: 138.603 ps
NOT-10544: 98.0522 ps
NAND-10545: 111.185 ps
AND-10546: 421.689 ps
NOT-10547: 420.523 ps
AND-10548: 432.342 ps
AND-10549: 374.25 ps
NOT-10550: 361.057 ps
AND-10551: 372.879 ps
NAND-10552: 418.421 ps
AND-10553: 371.068 ps
AND-10554: 371.068 ps
AND-10555: 371.068 ps
AND-10556: 371.068 ps
NOT-10557: 390.514 ps
NAND-10558: 402.121 ps
NOT-10559: 390.476 ps
NAND-10560: 402.11 ps
NOT-10561: 390.511 ps
NAND-10562: 402.154 ps
NOT-10563: 390.67 ps
NAND-10564: 402.304 ps
NAND-10565: 418.423 ps
NOT-10566: 390.516 ps
NAND-10567: 402.122 ps
NOT-10568: 390.479 ps
NAND-10569: 402.112 ps
NOT-10570: 390.512 ps
NAND-10571: 402.155 ps
NOT-10572: 390.672 ps
NAND-10573: 402.306 ps
NOT-10574: 495.391 ps
NOT-10575: 501.774 ps
NOT-10576: 512.501 ps
AND-10577: 441.9 ps
AND-10581: 337.501 ps
AND-10582: 337.501 ps
NOT-10583: 350.652 ps
AND-10587: 352.414 ps
AND-10588: 352.414 ps
NOT-10589: 341.77 ps
AND-10594: 354.145 ps
AND-10595: 354.107 ps
AND-10596: 354.141 ps
AND-10597: 354.301 ps
AND-10598: 305.4 ps
INP-106: 266.56 ps
BUFF-10602: 382.052 ps
NAND-10609: 233.902 ps
NAND-10610: 238.92 ps
NAND-10621: 98.0522 ps
NAND-10626: 126.996 ps
NAND-10627: 98.0522 ps
OR-10628: 421.689 ps
AND-10629: 420.523 ps
AND-10631: 361.057 ps
NAND-10632: 418.421 ps
NAND-10637: 390.514 ps
NAND-10638: 390.476 ps
NAND-10639: 390.511 ps
NAND-10640: 390.67 ps
NAND-10641: 418.423 ps
NAND-10642: 390.516 ps
NAND-10643: 390.479 ps
NAND-10644: 390.512 ps
NAND-10645: 390.672 ps
AND-10647: 441.9 ps
AND-10648: 313.878 ps
AND-10649: 313.878 ps
OR-10652: 305.4 ps
OR-10659: 354.145 ps
OR-10662: 354.107 ps
OR-10665: 354.141 ps
OR-10668: 354.301 ps
NOT-10671: 155.966 ps
NAND-10672: 167.598 ps
NOT-10673: 127.022 ps
NAND-10674: 138.655 ps
NAND-10675: 233.902 ps
NAND-10678: 238.92 ps
NOT-10681: 156.17 ps
NAND-10682: 167.801 ps
NOT-10683: 127.226 ps
NAND-10684: 138.858 ps
NOT-10685: 204.941 ps
NAND-10686: 216.563 ps
NOT-10687: 209.959 ps
NAND-10688: 221.582 ps
NOT-10689: 127.133 ps
NAND-10690: 138.739 ps
NAND-10691: 98.0522 ps
NOT-10694: 204.941 ps
NAND-10695: 216.563 ps
NOT-10696: 209.959 ps
NAND-10697: 221.582 ps
NAND-10698: 126.996 ps
NAND-10701: 98.0522 ps
OR-10704: 420.523 ps
AND-10705: 350.652 ps
OR-10706: 361.057 ps
AND-10707: 341.77 ps
AND-10708: 341.77 ps
AND-10709: 341.77 ps
AND-10710: 341.711 ps
NAND-10711: 390.514 ps
NAND-10712: 390.476 ps
NAND-10713: 390.511 ps
NAND-10714: 390.67 ps
NAND-10715: 390.516 ps
NAND-10716: 390.479 ps
NAND-10717: 390.512 ps
NAND-10718: 390.672 ps
NOT-10719: 382.052 ps
NAND-10720: 393.659 ps
NOT-10729: 441.9 ps
AND-10730: 328.817 ps
AND-10731: 328.816 ps
NAND-10737: 155.966 ps
NAND-10738: 127.022 ps
OR-10739: 313.878 ps
NAND-10746: 156.17 ps
NAND-10747: 127.226 ps
NAND-10748: 204.941 ps
NAND-10749: 209.959 ps
NAND-10750: 127.133 ps
NAND-10753: 204.941 ps
NAND-10754: 209.959 ps
OR-10759: 350.652 ps
OR-10760: 341.77 ps
OR-10761: 341.77 ps
OR-10762: 341.77 ps
OR-10763: 341.711 ps
NAND-10764: 382.052 ps
AND-10765: 334.699 ps
AND-10766: 334.699 ps
AND-10767: 334.699 ps
AND-10768: 334.699 ps
NOT-10769: 354.145 ps
NAND-10770: 365.751 ps
