-------------------Chip Info----------------------

Bounding Chip area: 1260
Bounding Chip dimensions: 36x35


Actual Chip area: 1347.5
Actual Chip dimensions: 38.5x35

Initial HPWL: 18300
After Annealing HPWL: 8224
Annealing Execution Time: 531.706s

-------------------Gate Info----------------------
INP-1: x=4, y=24
INP-8: x=2, y=16
INP-15: x=27, y=6
INP-22: x=5, y=34
INP-29: x=15, y=33
INP-36: x=33, y=31
INP-43: x=11, y=26
INP-50: x=17, y=10
INP-57: x=17, y=14
INP-64: x=8, y=33
INP-71: x=19, y=24
INP-78: x=27, y=23
INP-85: x=12.5, y=19
INP-92: x=36.5, y=29
INP-99: x=17, y=23
INP-106: x=6, y=1
INP-113: x=19, y=0
INP-120: x=25, y=4
INP-127: x=0, y=4
INP-134: x=15, y=12
INP-141: x=29, y=15
INP-148: x=29, y=13
INP-155: x=16, y=22
INP-162: x=26, y=10
INP-169: x=7, y=30
INP-176: x=4, y=8
INP-183: x=12, y=34
INP-190: x=17, y=28
INP-197: x=23, y=18
INP-204: x=26, y=5
INP-211: x=17, y=30
INP-218: x=10, y=13
INP-225: x=30, y=31
INP-226: x=0, y=33
INP-227: x=22, y=7
INP-228: x=29.5, y=19
INP-229: x=6, y=30
INP-230: x=12, y=28
INP-231: x=37.5, y=30
INP-232: x=18, y=34
INP-233: x=16, y=1
OUTP-1324: x=31, y=5
OUTP-1325: x=26, y=26
OUTP-1326: x=20, y=31
OUTP-1327: x=18, y=23
OUTP-1328: x=37.5, y=18
OUTP-1329: x=23, y=25
OUTP-1330: x=37, y=23
OUTP-1331: x=8, y=4
OUTP-1332: x=2, y=34
OUTP-1333: x=3, y=8
OUTP-1334: x=16, y=32
OUTP-1335: x=0, y=32
OUTP-1336: x=7, y=1
OUTP-1337: x=20, y=18
OUTP-1338: x=23, y=12
OUTP-1339: x=4, y=29
OUTP-1340: x=26, y=23
OUTP-1341: x=21, y=32
OUTP-1342: x=13, y=27
OUTP-1343: x=4, y=28
OUTP-1344: x=25, y=11
OUTP-1345: x=18, y=11
OUTP-1346: x=0, y=19
OUTP-1347: x=26, y=0
OUTP-1348: x=0, y=29
OUTP-1349: x=8, y=0
OUTP-1350: x=3, y=1
OUTP-1351: x=10, y=14
OUTP-1352: x=15, y=15
OUTP-1353: x=36, y=23
OUTP-1354: x=8, y=10
OUTP-1355: x=15, y=22
AND-242: x=30, y=32
AND-245: x=13, y=32
AND-248: x=16, y=4
AND-251: x=35.5, y=19
AND-254: x=24, y=33
AND-257: x=13, y=29
