Iteration	HPWL	Cost	Moves	T
START		38	25.4	0	40000
1		47	36.5	13	40000
2		46	36.2	13	38000
3		46	36.2	12	36100
4		34	27	13	34295
5		43	35.3	13	32580.2
6		34	27	12	30951.2
7		41	31.9	13	29403.7
8		42	32.2	13	27933.5
9		40	28.8	13	26536.8
10		43	32.5	13	25210
11		42	29.4	12	23949.5
12		41	29.1	13	22752
13		38	31	13	21614.4
14		54	38.6	12	20533.7
15		40	31.6	12	19507
16		42	32.2	13	18531.6
17		42	32.2	12	17605.1
18		48	36.8	12	16724.8
19		45	35.9	12	15888.6
20		41	31.9	13	15094.1
21		52	38	13	14339.4
22		49	37.1	13	13622.5
23		45	35.9	13	12941.3
24		50	40.2	13	12294.3
25		41	37.5	13	11679.6
26		48	36.8	12	11095.6
27		36	27.6	13	10540.8
28		43	29.7	13	10013.8
29		40	31.6	13	9513.08
30		42	35	13	9037.42
31		48	36.8	13	8585.55
32		37	30.7	12	8156.27
33		52	38	12	7748.46
34		39	28.5	11	7361.04
35		40	26	13	6992.98
36		44	30	11	6643.34
37		33	29.5	13	6311.17
38		43	38.1	12	5995.61
39		43	32.5	13	5695.83
40		42	32.2	13	5411.04
41		42	32.2	10	5140.49
42		43	29.7	13	4883.46
43		35	27.3	10	4639.29
44		43	32.5	12	4407.32
45		41	31.9	11	4186.96
46		41	29.1	8	3977.61
47		53	38.3	11	3778.73
48		40	31.6	13	3589.79
49		31	26.1	12	3410.3
50		30	23	8	3239.79
51		29	25.5	6	3077.8
52		36	27.6	6	2923.91
53		33	26.7	9	2777.71
54		41	29.1	11	2638.83
55		39	28.5	12	2506.89
56		33	29.5	6	2381.54
57		44	32.8	9	2262.47
58		42	29.4	10	2149.34
59		33	26.7	9	2041.87
60		43	29.7	10	1939.78
61		38	31	8	1842.79
62		38	31	9	1750.65
63		40	28.8	9	1663.12
64		42	32.2	8	1579.96
65		32	26.4	8	1500.97
66		34	27	8	1425.92
67		39	28.5	12	1354.62
68		37	25.1	9	1286.89
69		39	25.7	8	1222.55
70		33	26.7	6	1161.42
71		36	27.6	6	1103.35
72		37	27.9	11	1048.18
73		37	30.7	7	995.771
74		32	26.4	6	945.983
75		34	27	3	898.684
76		40	28.8	4	853.749
77		34	27	9	811.062
78		33	26.7	6	770.509
79		29	22.7	3	731.983
80		29	22.7	0	695.384
81		29	22.7	0	660.615
82		30	23	1	627.584
83		30	23	0	596.205
84		32	26.4	5	566.395
85		32	26.4	0	538.075
86		32	26.4	0	511.171
87		34	24.2	5	485.613
88		37	25.1	3	461.332
89		37	25.1	4	438.265
90		31	23.3	3	416.352
91		31	23.3	0	395.535
92		31	23.3	0	375.758
93		32	23.6	1	356.97
94		31	23.3	1	339.121
95		30	23	4	322.165
96		30	23	0	306.057
97		31	23.3	2	290.754
98		31	23.3	1	276.217
99		32	23.6	1	262.406
100		32	23.6	0	249.285
101		32	23.6	0	236.821
102		29	22.7	1	224.98
103		29	22.7	0	213.731
104		29	22.7	0	203.045
105		29	22.7	0	192.892
106		27	22.1	1	183.248
107		27	22.1	0	174.085
108		27	22.1	0	165.381
109		27	22.1	0	157.112
110		27	22.1	0	149.256
111		27	22.1	0	141.794
112		21	20.3	1	134.704
113		21	20.3	0	127.969
114		21	20.3	0	121.57
115		21	20.3	0	115.492
116		21	20.3	0	109.717
117		21	20.3	0	104.231
118		21	20.3	0	99.0197
119		21	20.3	0	94.0688
120		21	20.3	0	89.3653
121		21	20.3	0	84.8971
122		21	20.3	0	80.6522
