Iteration	HPWL	Cost	Moves	T
START	42	30.1	0	5000
1	42	30.1	12	5000
2	38	28.9	11	4750
3	36	31.8	12	4512.5
4	40	33	12	4286.88
5	35	28	11	4072.53
6	33	27.4	13	3868.9
7	34	31.2	9	3675.46
8	38	28.9	10	3491.69
9	36	28.3	6	3317.1
10	36	31.8	12	3151.25
11	41	29.8	11	2993.68
12	33	27.4	11	2844
13	37	28.6	10	2701.8
14	39	32.7	8	2566.71
15	35	28	12	2438.37
16	36	28.3	9	2316.46
17	32	27.1	9	2200.63
18	35	28	9	2090.6
19	34	27.7	12	1986.07
20	37	28.6	6	1886.77
21	35	28	6	1792.43
22	39	29.2	8	1702.81
23	33	27.4	9	1617.67
24	43	33.9	13	1536.78
25	38	32.4	11	1459.95
26	44	30.7	11	1386.95
27	34	27.7	7	1317.6
28	30	26.5	4	1251.72
29	30	26.5	7	1189.13
30	31	26.8	2	1129.68
31	34	27.7	4	1073.19
32	34	27.7	9	1019.53
33	33	27.4	7	968.557
34	30	26.5	8	920.13
35	35	28	5	874.123
36	35	28	4	830.417
37	36	28.3	4	788.896
38	38	28.9	6	749.451
39	34	27.7	7	711.979
40	30	26.5	6	676.38
41	25	25	5	642.561
42	30	26.5	4	610.433
43	29	26.2	2	579.911
44	30	26.5	4	550.916
45	32	27.1	3	523.37
46	33	27.4	6	497.201
47	35	28	4	472.341
48	33	27.4	7	448.724
49	35	28	7	426.288
50	32	27.1	4	404.974
51	30	26.5	2	384.725
52	32	27.1	5	365.489
53	26	25.3	3	347.214
54	26	25.3	1	329.853
55	26	25.3	0	313.361
56	26	25.3	2	297.693
57	26	25.3	1	282.808
58	28	25.9	3	268.668
59	28	25.9	0	255.234
60	28	25.9	1	242.473
61	29	26.2	1	230.349
62	28	25.9	4	218.832
63	29	26.2	3	207.89
64	29	26.2	3	197.495
65	30	26.5	3	187.621
66	30	26.5	4	178.24
67	30	26.5	2	169.328
68	28	25.9	4	160.861
69	25	25	1	152.818
70	24	24.7	3	145.177
71	24	24.7	0	137.918
72	24	24.7	1	131.023
73	24	24.7	0	124.471
74	24	24.7	1	118.248
75	24	24.7	3	112.335
76	24	24.7	0	106.719
77	23	24.4	2	101.383
78	23	24.4	0	96.3136
79	23	24.4	0	91.4979
80	23	24.4	1	86.923
81	23	24.4	1	82.5769
82	23	24.4	2	78.448
83	23	24.4	2	74.5256
84	23	24.4	0	70.7993
85	23	24.4	2	67.2594
86	23	24.4	1	63.8964
87	23	24.4	2	60.7016
88	23	24.4	2	57.6665
89	23	24.4	1	54.7832
90	23	24.4	1	52.044
91	23	24.4	1	49.4418
92	23	24.4	1	46.9697
93	23	24.4	1	44.6212
94	23	24.4	2	42.3902
95	23	24.4	3	40.2707
96	23	24.4	0	38.2571
97	23	24.4	0	36.3443
98	23	24.4	0	34.5271
99	23	24.4	1	32.8007
100	23	24.4	0	31.1607
101	23	24.4	2	29.6026
102	23	24.4	0	28.1225
103	23	24.4	1	26.7164
104	23	24.4	1	25.3806
105	23	24.4	1	24.1115
106	23	24.4	0	22.906
107	23	24.4	1	21.7607
108	23	24.4	0	20.6726
109	23	24.4	1	19.639
110	23	24.4	0	18.6571
111	23	24.4	1	17.7242
112	23	24.4	2	16.838
113	23	24.4	0	15.9961
114	23	24.4	0	15.1963
115	23	24.4	0	14.4365
116	23	24.4	0	13.7146
117	23	24.4	1	13.0289
118	23	24.4	0	12.3775
119	23	24.4	0	11.7586
120	23	24.4	2	11.1707
121	23	24.4	1	10.6121
122	23	24.4	0	10.0815
123	23	24.4	1	9.57745
124	23	24.4	1	9.09858
125	23	24.4	1	8.64365
126	23	24.4	0	8.21147
127	23	24.4	0	7.80089
128	23	24.4	1	7.41085
129	23	24.4	2	7.04031
130	23	24.4	1	6.68829
131	23	24.4	4	6.35388
132	23	24.4	1	6.03618
133	23	24.4	1	5.73437
134	23	24.4	0	5.44765
135	23	24.4	0	5.17527
136	23	24.4	0	4.91651
137	23	24.4	0	4.67068
138	23	24.4	0	4.43715
139	23	24.4	0	4.21529
140	23	24.4	0	4.00453
141	23	24.4	0	3.8043
142	23	24.4	0	3.61408
143	23	24.4	1	3.43338
144	23	24.4	0	3.26171
145	23	24.4	0	3.09863
146	23	24.4	2	2.94369
147	23	24.4	0	2.79651
148	23	24.4	0	2.65668
149	23	24.4	0	2.52385
150	23	24.4	1	2.39766
151	23	24.4	2	2.27777
152	23	24.4	2	2.16389
153	23	24.4	0	2.05569
154	23	24.4	0	1.95291
155	23	24.4	0	1.85526
156	23	24.4	0	1.7625
157	23	24.4	0	1.67437
158	23	24.4	1	1.59066
159	23	24.4	2	1.51112
160	23	24.4	0	1.43557
161	23	24.4	1	1.36379
162	23	24.4	0	1.2956
163	23	24.4	0	1.23082
164	23	24.4	2	1.16928
165	23	24.4	1	1.11081
166	23	24.4	2	1.05527
167	23	24.4	1	1.00251
