Iteration	HPWL	Cost	Moves	T
START	286154	92356.1	0	5000
1	288952	94627.9	3825	5000
2	292111	96682.2	3827	4750
3	293280	96089.1	3826	4512.5
4	294264	96774.9	3827	4286.88
5	291946	96860.7	3824	4072.53
6	291108	96023.1	3826	3868.9
7	293547	96462	3827	3675.46
8	291790	95544.3	3826	3491.69
9	290344	95403.3	3826	3317.1
10	295774	97357.9	3825	3151.25
11	288854	94533.1	3826	2993.68
12	295525	96567.1	3826	2844
13	288854	94338.1	3826	2701.8
14	291892	95867.8	3826	2566.71
15	290932	95091.4	3822	2438.37
16	292480	96207	3826	2316.46
17	293105	96101.6	3826	2200.63
18	292428	95638	3823	2090.6
19	295686	98145.1	3823	1986.07
20	293636	96781.8	3826	1886.77
21	295264	96781.8	3824	1792.43
22	292856	97036	3825	1702.81
23	292154	95490.8	3825	1617.67
24	290709	95512.9	3823	1536.78
25	294320	96889.2	3826	1459.95
26	292911	96433.9	3824	1386.95
27	293260	96961.6	3825	1317.6
28	291958	95887.5	3825	1251.72
29	291300	96113.5	3821	1189.13
30	289514	94536.1	3823	1129.68
31	292226	95317.2	3825	1073.19
32	293178	96481.4	3820	1019.53
33	294866	96629.7	3822	968.557
34	293018	96433.6	3826	920.13
35	295101	96602.7	3823	874.123
36	290356	95113.9	3826	830.417
37	290957	94903.8	3821	788.896
38	295208	97481.2	3821	749.451
39	290718	95482.9	3820	711.979
40	292696	96271.6	3821	676.38
41	296108	97425.8	3821	642.561
42	295115	96802.2	3823	610.433
43	292832	96182.2	3825	579.911
44	295364	96909.3	3820	550.916
45	295068	96853.2	3821	523.37
46	291191	96048.1	3817	497.201
47	292836	95988.3	3820	472.341
48	293434	96428.2	3818	448.724
49	287926	94092.1	3820	426.288
50	293698	96279.6	3815	404.974
51	291068	95164.8	3810	384.725
52	288414	94043.1	3816	365.489
53	292702	95427.4	3812	347.214
54	291228	96287.1	3817	329.853
55	294656	96664.3	3814	313.361
56	294021	96474	3812	297.693
57	291589	95223.6	3816	282.808
58	291947	95851.8	3808	268.668
59	291485	95224.9	3805	255.234
60	290518	95195.4	3810	242.473
61	296430	96806.1	3805	230.349
62	298710	99280.4	3812	218.832
63	293578	96145.6	3808	207.89
64	291400	95720.2	3810	197.495
65	291866	95566.9	3799	187.621
66	291336	95570.7	3806	178.24
67	291932	96563.4	3804	169.328
68	292210	95963.2	3807	160.861
69	291104	95631.4	3804	152.818
70	294916	96189.1	3802	145.177
71	291756	95501.7	3797	137.918
72	293160	96248.4	3795	131.023
73	292172	95952	3804	124.471
74	290545	96082.2	3792	118.248
75	290560	95500.8	3798	112.335
76	292049	96012.6	3799	106.719
77	291571	95446.1	3793	101.383
78	292148	96042.3	3797	96.3136
79	290224	95497.8	3783	91.4979
80	292882	95611.5	3790	86.923
81	290858	95557.8	3779	82.5769
82	289944	94958.1	3782	78.448
83	289670	94810.5	3786	74.5256
84	288412	95344.8	3770	70.7993
85	289118	94482.4	3765	67.2594
86	289569	95333.7	3761	63.8964
87	290284	94734.4	3758	60.7016
88	288520	95702.6	3758	57.6665
89	290337	94880.5	3762	54.7832
90	291024	95314.6	3764	52.044
91	288500	94361.8	3753	49.4418
92	289658	94318.8	3750	46.9697
93	290267	94957.2	3728	44.6212
94	288827	94199.7	3742	42.3902
95	288320	94145.1	3734	40.2707
96	290429	95038.3	3709	38.2571
97	289664	94613.4	3713	36.3443
98	289644	94803	3701	34.5271
99	288797	94158.1	3709	32.8007
100	289074	94501.6	3698	31.1607
101	288530	95021.8	3695	29.6026
102	288415	94336.5	3687	28.1225
103	287979	94368.4	3696	26.7164
104	285532	93536.7	3670	25.3806
105	289872	94676.1	3689	24.1115
106	288310	94044.4	3673	22.906
107	285700	93554.4	3638	21.7607
108	285352	93384.9	3632	20.6726
109	286787	93913.2	3633	19.639
110	285211	93180	3637	18.6571
111	289204	94768.6	3616	17.7242
112	286526	93607.2	3618	16.838
113	282828	92139.4	3563	15.9961
114	287231	93753.4	3609	15.1963
115	283284	92569.5	3571	14.4365
116	287600	94092.1	3571	13.7146
117	283400	92799.6	3513	13.0289
118	283460	92101.2	3512	12.3775
119	285558	93023.7	3505	11.7586
120	282418	91983.9	3480	11.1707
121	280583	91466.1	3476	10.6121
122	279858	91509.1	3458	10.0815
